code,name,produkmui,manufacture,cert_code,nilai,label,ingredients,ingredients_lama,ing0,ing1,ing2,ing3,ing4,ing5,ing6,ing7,ing8,ing9,ing10,ing11,ing12,ing13,ing14,ing15,ing16,ing17,ing18,ing19,ing20,ing21,ing22,ing23,ing24,ing25,ing26,ing27,ing28,ing29,ing30,ing31,ing32,cert_bodies,expired,cert_bodyname,homepage,location,status
69,Nano Nano Candy Milky Coklat,Nano nano milky coklat,Pt. konimex,00110019820402,"0,5",1,"gula,susu bubuk,Cokelat bubuk,kalsium karbonat,magnesium stearat,perisa identik alami Cokelat,maltodekstrin,perisa identik alami vanili","gula, susu bubuk, coklat bubuk, kalsium karbonat, anti kempal magnesium stearat, perisa identik alami coklat, maltodekstrin, perisa identik alami vanila",gula, susu bubuk, coklat bubuk, kalsium karbonat, anti kempal magnesium stearat, perisa identik alami coklat, maltodekstrin, perisa identik alami vanila,,,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
71,Wrp Everyday Chocolate Chip Cookies,Wrp cookies chocolate chip,Pt. nutrifood indonesia,00100048590808,"0,5",1,"tepung terigu,margarin,beta karoten,gula,emping,jagung,antioksidan tokoferol,Cokelat chips,serat orat,telur,mentega,pati jagung,Cokelat bubuk,air,pengemulsi nabati,natrium bikarbonat,kalium sorbat","tepung terigu, margarin (mengandung pewarna beta karoten ci ), gula, emping, jagung (mengandung antioksidan tokoferol), coklat chips, serat orat, telur, mentega, pati jagung, coklat bubuk, air, pengemulsi nabati, pengembang natrium bikarbonat, pengawet kalium sorbat.",tepung terigu, margarin mengandung pewarna beta karoten ci , gula, emping, jagung mengandung antioksidan tokoferol, coklat chips, serat orat, telur, mentega, pati jagung, coklat bubuk, air, pengemulsi nabati, pengembang natrium bikarbonat, pengawet kalium sorbat,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
72,Huwi Silky Pudding Taro,Huwi silky pudding rasa taro,Cv. sinarfood healthindo,15250062676020,"0,5",1,kosong,kosong,kosong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
73,Mamasuka Bon Nori Original,Mamasuka bon nori original,Pt. aneka boga nusantara,00190080261216,"0,5",1,"bawang merah goreng,minyak jagung,rumput laut kering,biji wijen,gula,bawang putih goreng,minyak wijen,garam gurih","bawang merah goreng, minyak jagung, rumput laut kering, biji wijen, gula, bawang putih goreng, minyak wijen, garam gurih, penguat rasa.",bawang merah goreng, minyak jagung, rumput laut kering, biji wijen, gula, bawang putih goreng, minyak wijen, garam gurih, penguat rasa,,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
74,Julie's Sandwich Choco More,Julie's choco more sandwich,Julieâ€™s manufacturing sdn. bhd.,00100084210817,"0,5",1,"tepung terigu,gula,minyak nabati,kakao bubuk,pati jagung,sirup glukosa,kakao massa,susu skim bubuk,laktosa,garam,perisa sintetik Cokelat","tepung terigu, gula, minyak nabati, kakao bubuk, pati jagung, sirup glukosa, kakao massa, susu skim bubuk, laktosa, garam, pengemulsi, pengembang, perisa sintetik cokelat.",tepung terigu, gula, minyak nabati, kakao bubuk, pati jagung, sirup glukosa, kakao massa, susu skim bubuk, laktosa, garam, pengemulsi, pengembang, perisa sintetik cokelat,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
75,Julie's Sandwich Peanut Butter,Julie's peanut butter sandwich,Julieâ€™s manufacturing sdn. bhd.,00100084210817,"0,5",1,"tepung gandum,mentega kacang,minyak kelapa sawit,gula,sirup glukosa,susu tepung skim,dinatrium difosfat,natrium bikarbonat,Amonium Bikarbonat,kanji jagung,serbuk dadih,garam,serbuk keju,ragi,perisa mentega","tepung gandum, mentega kacang, minyak kelapa sawit, gula, sirup glukosa, susu tepung skim, agen penaik: dinatrium difosfat, natrium bikarbonat, ammonium bikarbonat, kanji jagung, serbuk dadih, garam, serbuk keju, ragi, perisa makanan yang dibenarkan, perisa mentega.",tepung gandum, mentega kacang, minyak kelapa sawit, gula, sirup glukosa, susu tepung skim, agen penaik dinatrium difosfat, natrium bikarbonat, ammonium bikarbonat, kanji jagung, serbuk dadih, garam, serbuk keju, ragi, perisa makanan yang dibenarkan, perisa mentega,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
77,Rocho Wafer Bola Cokelat Kacang,Rocho wafer bola coklat kacang,Pt. inkubisc,00100077860716,"0,5",1,"gula,lemak reroti,kakao bubuk,kacang tanah,susu bubuk,minyak nabati,tepung terigu,tepung tapioka,Pengemulsi Lesitin Kedelai,garam,amonium bikarbonat,natrium bikarbonat,perisa identik alami vanili,perisa artifisial susu","gula, lemak reroti (mengandung antioksidan tbhq), kakao bubuk (%), kacang tanah (.%), susu bubuk, minyak nabati, tepung terigu, tepung tapioka, pengemulsi lesitin kedelai, garam, pengembang (amonium bikarbonat, natrium bikarbonat), perisa identik alami vanila, perisa artifisial susu.",gula, lemak reroti mengandung antioksidan tbhq, kakao bubuk , kacang tanah , susu bubuk, minyak nabati, tepung terigu, tepung tapioka, pengemulsi lesitin kedelai, garam, pengembang amonium bikarbonat, natrium bikarbonat, perisa identik alami vanila, perisa artifisial susu,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
78,Cap Botol Teh Celup Hijau,Teh cap botol celup,Pt. gunung slamat,00120000980699,"0,5",1,"teh hijau,bunga melati","teh hijau, bunga melati",teh hijau, bunga melati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
80,Cap Botol Teh Celup Vintage,Teh cap botol celup,Pt. gunung slamat,00120000980699,"0,5",1,kosong,kosong,kosong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
83,Indomaret Gula Pasir Premium Kuning,Gula pasir kuning indomaret,Pt. sweetindo perkasa,00230110871120,"0,5",1,Gula Tebu,% gula tebu alami., gula tebu alami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
