,Produk,produkindo,produkmui,produsen,sertif,nilai
3,Club Air Mineral|Club air mineral|Pt. trans retail indonesia|00160095720519|0.42857142857142855,Club Air Mineral,Club air mineral,Pt. trans retail indonesia,00160095720519,0.42857142857142855
1161,Indomaret Ufo Mi Goreng Pedas|Ufo indomaret mi instan cup rasa mi goreng pedas|Pt. nissin foods indonesia|00090005000297|0.4166666666666667,Indomaret Ufo Mi Goreng Pedas,Ufo indomaret mi instan cup rasa mi goreng pedas,Pt. nissin foods indonesia,00090005000297,0.4166666666666667
1153,Sedaap Mie Instant Baso Spesial|Mie sedaap instant mi kuah rasa baso spesial|Prakarsa alam segar pt.|00090036380805|0.4166666666666667,Sedaap Mie Instant Baso Spesial,Mie sedaap instant mi kuah rasa baso spesial,Prakarsa alam segar pt.,00090036380805,0.4166666666666667
1157,Sedaap Mie Instant Ayam Bawang|Mie sedaap instant mi kuah rasa ayam bawang|Prakarsa alam segar pt.|00090036380805|0.4166666666666667,Sedaap Mie Instant Ayam Bawang,Mie sedaap instant mi kuah rasa ayam bawang,Prakarsa alam segar pt.,00090036380805,0.4166666666666667
321,Abc Syrup Special Grade Cocopandan|Abc special grade sirup rasa cocopandan (abc special grade syrup cocopandan)|Pt. heinz abc indonesia| 00120016560801|0.4166666666666667,Abc Syrup Special Grade Cocopandan,Abc special grade sirup rasa cocopandan (abc special grade syrup cocopandan),Pt. heinz abc indonesia, 00120016560801,0.4166666666666667
238,Kapal Api Coffee Drink Signature Orginal Black Coffee|Kapal api signature strong black coffee|Pt. santos jaya abadi|00120017110901|0.4166666666666667,Kapal Api Coffee Drink Signature Orginal Black Coffee,Kapal api signature strong black coffee,Pt. santos jaya abadi,00120017110901,0.4166666666666667
1162,Indomaret Ufo Mi Goreng Ala Indonesia|Ufo indomaret mi instan cup rasa mi goreng indonesia|Pt. nissin foods indonesia|00090005000297|0.4166666666666667,Indomaret Ufo Mi Goreng Ala Indonesia,Ufo indomaret mi instan cup rasa mi goreng indonesia,Pt. nissin foods indonesia,00090005000297,0.4166666666666667
375,Laverland Crunch Snack Fish & Seaweed Original|Laverland crunch fish and seaweed chips original|Asia food co.-korea|00100082470417|0.4166666666666667,Laverland Crunch Snack Fish & Seaweed Original,Laverland crunch fish and seaweed chips original,Asia food co.-korea,00100082470417,0.4166666666666667
664,Lee Kum Kee Oyster Sauce (Saus Tiram)|Kum chun oyster sauce|Lee kum kee (malaysia) foods sdn bhd|00060060001211	|0.4166666666666667,Lee Kum Kee Oyster Sauce (Saus Tiram),Kum chun oyster sauce,Lee kum kee (malaysia) foods sdn bhd,00060060001211	,0.4166666666666667
742,Oishi Snack Kriuk Kriuk Ikan Balado|Oishi kriuk kriuk makanan ringan rasa ikan balado (fish snack balado flavor)|Pt. liwayway|00100040060506|0.4166666666666667,Oishi Snack Kriuk Kriuk Ikan Balado,Oishi kriuk kriuk makanan ringan rasa ikan balado (fish snack balado flavor),Pt. liwayway,00100040060506,0.4166666666666667
155,Torabika Kopi Instant Gilus Mix Gula Aren|Torabika gilus mix sensasi aroma gula aren|Pt. torabika eka semesta|00120015840601|0.4166666666666667,Torabika Kopi Instant Gilus Mix Gula Aren,Torabika gilus mix sensasi aroma gula aren,Pt. torabika eka semesta,00120015840601,0.4166666666666667
1189,Ayam Brand Tuna Chunks In Water|Ayam brand tuna chunks dalam larutan garam (tuna chunks in brine)|Pt. faretina|00030062660912|0.4166666666666667,Ayam Brand Tuna Chunks In Water,Ayam brand tuna chunks dalam larutan garam (tuna chunks in brine),Pt. faretina,00030062660912,0.4166666666666667
707,Pringles Potato Crisps Hot & Spicy|Pringles potato crisps hot and spicy|Kellogg asia products sdn bhd|00100097280719|0.4166666666666667,Pringles Potato Crisps Hot & Spicy,Pringles potato crisps hot and spicy,Kellogg asia products sdn bhd,00100097280719,0.4166666666666667
146,Chekhup White Coffe 3 IN 1 Original|White coffee original 3 in 1|Pt. golden power beverages|00120092271118|0.4166666666666667,Chekhup White Coffe 3 IN 1 Original,White coffee original 3 in 1,Pt. golden power beverages,00120092271118,0.4166666666666667
460,Garuda Kacang Panggang Rosta Bawang|Garuda rosta kacang panggang rasa bawang|Pt. garudafood putra putri jaya tbk|00100014221200|0.4166666666666667,Garuda Kacang Panggang Rosta Bawang,Garuda rosta kacang panggang rasa bawang,Pt. garudafood putra putri jaya tbk,00100014221200,0.4166666666666667
319,Abc Syrup Special Grade Melon|Abc special grade sirup rasa melon (abc special grade syrup melon)|Pt. heinz abc indonesia| 00120016560801|0.4166666666666667,Abc Syrup Special Grade Melon,Abc special grade sirup rasa melon (abc special grade syrup melon),Pt. heinz abc indonesia, 00120016560801,0.4166666666666667
14,"Indomaret Air Minum Ph Tinggi 8+|Indomaret - air minum ber ph tinggi|Pt. sariguna primatirta, tbk.|00120045420907|0.4166666666666667",Indomaret Air Minum Ph Tinggi 8+,Indomaret - air minum ber ph tinggi,"Pt. sariguna primatirta, tbk.",00120045420907,0.4166666666666667
45,Mogu-Mogu Minuman Nata De Coco Mangga|*goo goo minuman berperisa mangga dengan nata de coco|Pt. greshindo aroma|00120060021211|0.4166666666666667,Mogu-Mogu Minuman Nata De Coco Mangga,*goo goo minuman berperisa mangga dengan nata de coco,Pt. greshindo aroma,00120060021211,0.4166666666666667
1238,Al Shifa Black Forest Honey|Al shifa black forest honey|Food &amp; fine pastries manufacturing company (sunbulah)|00120095120419|0.4166666666666667,Al Shifa Black Forest Honey,Al shifa black forest honey,Food &amp; fine pastries manufacturing company (sunbulah),00120095120419,0.4166666666666667
98,Kraft Sandwich Mini Oreo Chocolate Cream|Mini oreo chocolate sandwich cookies with mocha cream|Mondelez indonesia manufacturing|00100039270306|0.4166666666666667,Kraft Sandwich Mini Oreo Chocolate Cream,Mini oreo chocolate sandwich cookies with mocha cream,Mondelez indonesia manufacturing,00100039270306,0.4166666666666667
383,Kusuka Keripik Singkong Ayam Lada Hitam|Keripik singkong kingkong rasa ayam lada hitam|Pt. universal cipta pangan|00100048400708|0.4166666666666667,Kusuka Keripik Singkong Ayam Lada Hitam,Keripik singkong kingkong rasa ayam lada hitam,Pt. universal cipta pangan,00100048400708,0.4166666666666667
917,Roma Biscuit Sari Gandum Sandwich Peanut Butter|Sari gandum sandwich peanut butter cream|Pt. mayora indah tbk|00100014301200|0.4166666666666667,Roma Biscuit Sari Gandum Sandwich Peanut Butter,Sari gandum sandwich peanut butter cream,Pt. mayora indah tbk,00100014301200,0.4166666666666667
509,Khong Guan Crackers Malkist Abon Sapi|Khong guan malkist rasa abon sapi|Pt. khong guan biscuit factory indonesia ltd|00100039280306|0.4166666666666667,Khong Guan Crackers Malkist Abon Sapi,Khong guan malkist rasa abon sapi,Pt. khong guan biscuit factory indonesia ltd,00100039280306,0.4166666666666667
459,Garuda Kacang Panggang Rosta Pedas|Garuda rosta kacang panggang rasa pedas|Pt. garudafood putra putri jaya tbk|00100014221200|0.4166666666666667,Garuda Kacang Panggang Rosta Pedas,Garuda rosta kacang panggang rasa pedas,Pt. garudafood putra putri jaya tbk,00100014221200,0.4166666666666667
75,Tiga Sapi Kremer Kental Manis|Krimer kental manis plain - kremer by tiga sapi can|Pt. indolakto|00040009041098|0.4166666666666667,Tiga Sapi Kremer Kental Manis,Krimer kental manis plain - kremer by tiga sapi can,Pt. indolakto,00040009041098,0.4166666666666667
1007,Lotte Chewing Gum Sugar Free Xylitol Jeruk Nipis Mint|Lotte xylitol permen karet rasa jeruk nipis mint (lotte xylitol chewing gum lime mint)|Pt. lotte indonesia|00110006731197|0.4117647058823529,Lotte Chewing Gum Sugar Free Xylitol Jeruk Nipis Mint,Lotte xylitol permen karet rasa jeruk nipis mint (lotte xylitol chewing gum lime mint),Pt. lotte indonesia,00110006731197,0.4117647058823529
847,Indomaret Keripik Buah Nangka|Keripik nangka darsa|Darsa|02100017960121|0.4,Indomaret Keripik Buah Nangka,Keripik nangka darsa,Darsa,02100017960121,0.4
833,"Indofood Saus Tomat|Saus tomat akasia|Akasia trijaya,cv|07060060100519|0.4",Indofood Saus Tomat,Saus tomat akasia,"Akasia trijaya,cv",07060060100519,0.4
684,Roller Coaster Snack Jagung Manis|Jack'njill roller coaster rasa jagung manis|Pt. urc indonesia|00100042041006|0.4,Roller Coaster Snack Jagung Manis,Jack'njill roller coaster rasa jagung manis,Pt. urc indonesia,00100042041006,0.4
374,Laverland Crunch Snack Seaweed Habanero|Laverland crunch crispy seaweed snack almond|Asia food co.-korea|00100082470417|0.4,Laverland Crunch Snack Seaweed Habanero,Laverland crunch crispy seaweed snack almond,Asia food co.-korea,00100082470417,0.4
73,Tropicana Slim Kental Manis|Tropicana slim sugar free topping kental manis|Pt. nutrifood indonesia|00210078770916|0.4,Tropicana Slim Kental Manis,Tropicana slim sugar free topping kental manis,Pt. nutrifood indonesia,00210078770916,0.4
659,Abc Kecap Manis Reffil|Kecap segitiga manis|Kecap segitiga|01061002500406|0.4,Abc Kecap Manis Reffil,Kecap segitiga manis,Kecap segitiga,01061002500406,0.4
470,Dua Kelinci Snack Krip Krip Tortilla Sapi Panggang|Dua kelinci pilus rasa sapi panggang|Pt. dua kelinci|00100017571001|0.4,Dua Kelinci Snack Krip Krip Tortilla Sapi Panggang,Dua kelinci pilus rasa sapi panggang,Pt. dua kelinci,00100017571001,0.4
